number;title;kp_rating;imbd_rating;year;url;_utc_timestamp
431;Помни;7.869;8.4;2000;https://www.kinopoisk.ru/film/335;2020-01-03 11:24:27
287;Покровские ворота  (ТВ);8.205;8.1;1982;https://www.kinopoisk.ru/film/77203;2020-01-03 11:24:19
206;Пока не сыграл в ящик;8.049;7.4;2007;https://www.kinopoisk.ru/film/258885;2020-01-03 11:24:19
26;Поймай меня, если сможешь;8.513;8.1;2002;https://www.kinopoisk.ru/film/324;2020-01-03 11:24:11
464;Подозрительные лица;7.859;8.5;1995;https://www.kinopoisk.ru/film/340;2020-01-03 11:24:27
212;Подмена;7.935;7.7;2008;https://www.kinopoisk.ru/film/279880;2020-01-03 11:24:19
333;Подкидыш;8.081;7.7;1939;https://www.kinopoisk.ru/film/43044;2020-01-03 11:24:19
329;Подводная лодка;8.047;8.3;1981;https://www.kinopoisk.ru/film/362;2020-01-03 11:24:19
1;Побег из Шоушенка;9.111;9.3;1994;https://www.kinopoisk.ru/film/326;2020-01-03 11:24:11
299;По соображениям совести;7.929;8.1;2016;https://www.kinopoisk.ru/film/649917;2020-01-03 11:24:19
316;По семейным обстоятельствам  (ТВ);8.162;7.7;1978;https://www.kinopoisk.ru/film/43007;2020-01-03 11:24:19
357;Плата за страх;8.046;8.1;1952;https://www.kinopoisk.ru/film/7727;2020-01-03 11:24:19
154;Планета Ка-Пэкс;8.015;7.4;2001;https://www.kinopoisk.ru/film/723;2020-01-03 11:24:11
177;Писатели свободы;8.022;7.5;2006;https://www.kinopoisk.ru/film/195226;2020-01-03 11:24:11
145;Пираты Карибского моря: Сундук мертвеца;8.09;7.3;2006;https://www.kinopoisk.ru/film/63991;2020-01-03 11:24:11
36;Пираты Карибского моря: Проклятие Черной жемчужины;8.334;8.0;2003;https://www.kinopoisk.ru/film/4374;2020-01-03 11:24:11
246;Пираты Карибского моря: На краю Света;8.008;7.1;2007;https://www.kinopoisk.ru/film/102124;2020-01-03 11:24:19
27;Пианист;8.463;8.5;2002;https://www.kinopoisk.ru/film/355;2020-01-03 11:24:11
217;Песнь моря;8.089;8.1;2014;https://www.kinopoisk.ru/film/714248;2020-01-03 11:24:19
362;Персона;8.083;8.1;1966;https://www.kinopoisk.ru/film/79506;2020-01-03 11:24:19
452;Перл-Харбор;7.92;6.2;2001;https://www.kinopoisk.ru/film/1957;2020-01-03 11:24:27
449;Перед рассветом;7.931;8.1;1995;https://www.kinopoisk.ru/film/18368;2020-01-03 11:24:27
153;Перед классом  (ТВ);8.074;8.1;2008;https://www.kinopoisk.ru/film/428457;2020-01-03 11:24:11
405;Патриот;7.914;7.2;2000;https://www.kinopoisk.ru/film/781;2020-01-03 11:24:27
319;Паразиты;8.074;8.6;2019;https://www.kinopoisk.ru/film/1043758;2020-01-03 11:24:19
421;Охотник на оленей;7.951;8.1;1978;https://www.kinopoisk.ru/film/428;2020-01-03 11:24:27
320;Охота;7.905;8.3;2012;https://www.kinopoisk.ru/film/647671;2020-01-03 11:24:19
